Marca temporal,Tienes telefono,Redes sociales,Uso,Frecuencia de uso,Sueles colgar fotos tuyas,Tus amigos suben de ti?,Te piden permiso,"Twitter, sigues a los que te siguen?",Hay peligro en las redes sociales,Sexo,Edad
18/12/2014 17:48:59,"Si, movil",Whatsapp,"Contacto con amigos, Amigos antiguos",Algunos dias,solo algunas,Algunas,Siempre,,si,M,12
18/12/2014 17:49:38,No,Whatsapp,"Contacto con amigos, Amigos antiguos",Algunos dias,no subo nada,Algunas,Siempre,,no lo se,M,12
18/12/2014 17:50:08,"Si, movil",Whatsapp,Contacto con amigos,"Todos los dias, mas de una hora",no subo nada,Algunas,Algunos si,,si,M,12
18/12/2014 17:51:19,Si smart,"Twitter, Instagram, Whatsapp","Contacto con amigos, Subir fotos, Seguir a famosos","Todos los dias, mas de una hora",si sale mas gente pido permiso,Algunas,Siempre,solo amigos,si,M,12
18/12/2014 17:51:56,Si smart,"Twitter, Instagram, Whatsapp",Seguir a famosos,"Todos los dias, mas de una hora",solo algunas,Algunas,Algunos si,solo amigos,si,M,12
18/12/2014 17:52:36,"Si, movil",Facebook,,Una vez a la semana,no subo nada,Nunca,Algunos si,,no lo se,M,12
18/12/2014 17:53:05,Si smart,"Whatsapp, Line","Contacto con amigos, Amigos antiguos","Todos los dias, menos de una hora",solo algunas,Algunas,Algunos si,,si,M,12
18/12/2014 17:53:38,Si smart,"Whatsapp, Line","Contacto con amigos, Amigos antiguos","Todos los dias, mas de una hora",solo algunas,Algunas,Algunos si,,si,M,12
18/12/2014 17:55:20,Si smart,"Instagram, Whatsapp","Amigos antiguos, Subir fotos","Todos los dias, mas de una hora",Subo la mayoria,Algunas,Nunca,,si,M,12
18/12/2014 18:00:13,Si smart,"Instagram, Whatsapp","Contacto con amigos, Amigos antiguos, Subir fotos, Seguir a famosos","Todos los dias, mas de una hora",solo algunas,Muchas,Algunos si,,si,M,12
18/12/2014 18:01:39,Si smart,Whatsapp,,"Todos los dias, menos de una hora",si sale mas gente pido permiso,Algunas,Siempre,,si,M,12
